brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
81382.0,sold,870000.0,3.0,2.0,0.17,1619055.0,Davis,California,95616.0,1860.0,2022-04-15
59831.0,sold,439000.0,2.0,1.0,0.03,489634.0,Davis,California,95616.0,804.0,2022-04-15
78624.0,sold,1275000.0,4.0,3.0,0.19,352731.0,Davis,California,95616.0,2748.0,2022-04-15
53016.0,sold,949000.0,4.0,2.0,0.19,1682641.0,Davis,California,95616.0,2125.0,2021-11-17
78624.0,sold,599000.0,3.0,2.0,0.07,655060.0,Davis,California,95616.0,1060.0,2021-11-17
78624.0,sold,795000.0,4.0,2.0,0.16,226655.0,Davis,California,95616.0,1775.0,2021-12-06
24186.0,sold,1395000.0,3.0,3.0,0.26,696383.0,Davis,California,95616.0,2667.0,2021-12-06
10710.0,sold,659900.0,3.0,3.0,0.06,967265.0,Davis,California,95618.0,1369.0,2021-12-14
109978.0,sold,686000.0,3.0,2.0,0.12,128980.0,Davis,California,95618.0,1155.0,2021-12-14
53016.0,sold,805000.0,3.0,2.0,0.18,218474.0,Davis,California,95616.0,1622.0,2022-01-06
78614.0,sold,780000.0,4.0,2.0,0.14,933855.0,Davis,California,95618.0,1428.0,2022-01-10
22935.0,sold,386214.0,3.0,3.0,0.03,1081654.0,Davis,California,95618.0,1172.0,2022-01-13
82034.0,sold,790000.0,4.0,3.0,0.06,1079847.0,Davis,California,95618.0,1751.0,2022-01-21
81361.0,sold,835000.0,2.0,1.0,0.13,1361399.0,Davis,California,95616.0,1200.0,2022-02-01
83454.0,sold,715000.0,3.0,3.0,0.07,298378.0,Davis,California,95618.0,1783.0,2022-02-07
78624.0,sold,728000.0,3.0,3.0,0.07,1596262.0,Davis,California,95618.0,1654.0,2022-02-09
78624.0,sold,349000.0,2.0,1.0,0.01,849936.0,Davis,California,95618.0,903.0,2022-02-15
81382.0,sold,1155000.0,4.0,3.0,0.21,213899.0,Davis,California,95616.0,2352.0,2022-02-17
71239.0,sold,630000.0,2.0,2.0,0.09,752650.0,Davis,California,95618.0,1117.0,2022-02-22
33729.0,sold,2500000.0,5.0,3.0,1.34,858289.0,Davis,California,95616.0,3682.0,2022-02-22
59831.0,sold,718000.0,3.0,2.0,0.29,1710414.0,Davis,California,95616.0,1390.0,2022-02-23
59831.0,sold,819000.0,4.0,2.0,0.17,1199277.0,Davis,California,95618.0,1606.0,2022-02-25
81382.0,sold,705000.0,3.0,2.0,0.14,400766.0,Davis,California,95618.0,1541.0,2022-02-25
84534.0,sold,709900.0,2.0,3.0,0.05,992209.0,Davis,California,95618.0,1576.0,2022-03-01
81382.0,sold,1160000.0,4.0,3.0,0.21,1569448.0,Davis,California,95616.0,2043.0,2022-03-04
81382.0,sold,970000.0,4.0,3.0,0.06,492027.0,Davis,California,95616.0,2141.0,2022-03-04
59831.0,sold,1199000.0,5.0,3.0,0.16,621297.0,Davis,California,95618.0,2913.0,2022-03-08
99325.0,sold,619326.0,2.0,3.0,0.14,471162.0,Davis,California,95616.0,1299.0,2022-02-28
81361.0,sold,1849000.0,4.0,4.0,0.31,1250347.0,Davis,California,95618.0,3822.0,2022-02-28
68796.0,sold,575000.0,3.0,2.0,0.14,1771967.0,Davis,California,95616.0,1269.0,2022-03-14
59831.0,sold,460000.0,2.0,2.0,0.1,631838.0,Davis,California,95618.0,1063.0,2022-03-17
59831.0,sold,999000.0,4.0,3.0,0.17,1367618.0,Davis,California,95616.0,2267.0,2022-03-17
78624.0,sold,650000.0,4.0,2.0,0.1,608745.0,Davis,California,95618.0,1588.0,2022-03-17
110055.0,sold,739900.0,4.0,2.0,0.15,895513.0,Davis,California,95618.0,1234.0,2022-03-24
22935.0,sold,770000.0,4.0,2.0,0.15,811871.0,Davis,California,95618.0,1434.0,2022-03-24
59831.0,sold,699000.0,3.0,2.0,0.12,204932.0,Davis,California,95618.0,1155.0,2022-03-28
42888.0,sold,750000.0,3.0,2.0,0.17,32510.0,Davis,California,95616.0,1496.0,2022-03-28
81361.0,sold,925000.0,4.0,3.0,0.15,1151170.0,Davis,California,95618.0,2040.0,2022-04-04
22935.0,sold,699000.0,3.0,2.0,0.18,30911.0,Davis,California,95616.0,1222.0,2022-04-04
78624.0,sold,579900.0,2.0,1.0,0.09,729168.0,Davis,California,95616.0,1008.0,2022-04-11
22935.0,sold,975000.0,4.0,2.0,0.24,362543.0,Davis,California,95616.0,1985.0,2022-04-18
71239.0,sold,855000.0,3.0,2.0,0.08,628527.0,Davis,California,95616.0,1935.0,2022-04-18
31168.0,sold,629000.0,3.0,2.0,0.08,865523.0,Davis,California,95616.0,1062.0,2022-04-18
78624.0,sold,448000.0,2.0,2.0,0.02,663759.0,Davis,California,95616.0,1120.0,2022-04-18
6304.0,sold,1465000.0,4.0,3.0,0.24,1422500.0,Davis,California,95618.0,3521.0,2022-02-04
81375.0,sold,895000.0,4.0,3.0,0.2,1360174.0,Davis,California,95618.0,1648.0,2022-02-23
22935.0,sold,1395000.0,4.0,3.0,0.23,1375195.0,Davis,California,95618.0,3364.0,2022-03-22
53016.0,sold,1195000.0,4.0,3.0,0.08,89363.0,Davis,California,95616.0,2489.0,2022-01-27
59831.0,sold,830000.0,3.0,2.0,0.14,684218.0,Davis,California,95616.0,1830.0,2022-02-04
22611.0,sold,469950.0,2.0,2.0,0.02,692015.0,Davis,California,95616.0,1160.0,2022-02-09
81382.0,sold,510000.0,2.0,2.0,0.14,22305.0,Davis,California,95616.0,1191.0,2022-02-11
31168.0,sold,715000.0,3.0,2.0,0.14,908955.0,Davis,California,95618.0,1471.0,2022-02-15
78624.0,sold,928000.0,4.0,2.0,0.16,1365392.0,Davis,California,95618.0,1924.0,2022-02-15
106089.0,sold,689900.0,3.0,2.0,0.09,756692.0,Davis,California,95618.0,1235.0,2022-02-15
78614.0,sold,1350000.0,4.0,3.0,0.18,,Davis,California,95616.0,2348.0,2022-02-22
59831.0,sold,789000.0,3.0,2.0,0.14,489423.0,Davis,California,95618.0,1527.0,2022-02-23
22935.0,sold,699000.0,3.0,2.0,0.14,394967.0,Davis,California,95616.0,1234.0,2022-03-16
108735.0,sold,570000.0,3.0,2.0,0.25,1763207.0,Davis,California,95616.0,1266.0,2022-03-24
42888.0,sold,765000.0,3.0,2.0,0.15,1078937.0,Davis,California,95618.0,1567.0,2022-03-30
81382.0,sold,445000.0,2.0,2.0,0.02,618105.0,Davis,California,95616.0,1160.0,2022-03-30
59831.0,sold,230000.0,3.0,2.0,0.14,1105743.0,Davis,California,95618.0,1344.0,2022-01-04
33968.0,sold,149800.0,3.0,2.0,0.14,536996.0,Davis,California,95618.0,1185.0,2022-01-26
78624.0,sold,490000.0,2.0,2.0,0.04,947067.0,Davis,California,95616.0,1160.0,2022-02-17
109982.0,sold,678500.0,2.0,3.0,0.05,1084798.0,Davis,California,95618.0,1539.0,2022-03-08
81373.0,sold,699000.0,3.0,2.0,0.18,883441.0,Davis,California,95618.0,1234.0,2022-03-10
59831.0,sold,875000.0,3.0,2.0,0.23,1697325.0,Davis,California,95616.0,1502.0,2022-03-15
